MONTH,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
August,BEGUSARAI,106.1,273.8,-61
August,BHABUA,225.9,271.2,-17
August,BHAGALPUR,102.4,260.3,-61
August,BHOJPUR,84.7,258.9,-67
August,BUXAR,155.3,232,-33
August,DARBHANGA,126.9,254.7,-50
August,EAST CHAMPARAN,54.1,302,-82
August,GAYA,224.2,241.6,-7
August,GOPALGANJ,126.7,272.7,-54
August,JAHANABAD,191.5,238.2,-20
August,JAMUI,129.9,250.9,-48
August,KATIHAR,121.5,255.8,-52
August,KHAGARIA,98.2,252.1,-61
August,KISHANGANJ,187.1,451.7,-59
August,LAKHISARAI,101.8,222.7,-54
August,MADHEPURA,95.5,265.9,-64
August,MADHUBANI,102,268.5,-62
August,MONGHYR,109.8,276.1,-60
August,MUZAFFARPUR,73.4,261.9,-72
August,NALANDA,134.7,237.7,-43
August,NAWADA,165.8,242.4,-32
August,PATNA,107.9,237.8,-55
August,PURNEA,193.6,346.9,-44
August,ROHTAS,189.6,248,-24
August,SAHARSA,155.2,276,-44
August,SAMASTIPUR,228,254.8,-11
August,SARAN,121.6,258,-53
August,SHEIKHPURA,102.4,209.6,-51
August,SHEOHAR,93.8,266.9,-65
August,SITAMARHI,56.5,307.3,-82
August,SIWAN,82.4,249,-67
August,SUPAUL,114.6,262.5,-56
August,VAISHALI,132,244.3,-46
August,WEST CHAMPARAN,154,355.8,-57
September,ARARIA,448.3,284,58
September,ARWAL,223.4,159.8,40
September,AURANGABAD,331.9,187.7,77
September,BANKA,376.3,198.7,89
September,BEGUSARAI,447,241,85
September,BHABUA,390.5,221.3,76
September,BHAGALPUR,502.2,219.7,129
September,BHOJPUR,388.2,207.2,87
September,BUXAR,394.6,172.2,129
September,DARBHANGA,337.5,186.6,81
September,EAST CHAMPARAN,340.6,211.1,61
September,GAYA,360.4,174.7,106
September,GOPALGANJ,483.9,216.8,123
September,JAHANABAD,392.1,185.1,112
September,JAMUI,309.7,218.7,42
September,KATIHAR,401.9,262,53
September,KHAGARIA,423.9,225.7,88
September,KISHANGANJ,385.3,354.5,9
September,LAKHISARAI,282.5,200.6,41
September,MADHEPURA,482.5,250.1,93
September,MADHUBANI,361.2,180.9,100
September,MONGHYR,312.6,225.9,38
September,MUZAFFARPUR,406,216.7,87
September,NALANDA,514,191.6,168
September,NAWADA,408.4,178.4,129
September,PATNA,431.2,203.3,112
September,PURNEA,528.3,308.9,71
September,ROHTAS,360.3,190.1,90
September,SAHARSA,376.7,236.4,59
September,SAMASTIPUR,606.4,223,172
September,SARAN,315.2,195.8,61
September,SHEIKHPURA,251.2,181.7,38
September,SHEOHAR,280,206,36
September,SITAMARHI,294.8,188.6,56
September,SIWAN,413.5,212.9,94
September,SUPAUL,491.2,228.5,115
September,VAISHALI,471.7,199.4,137
September,WEST CHAMPARAN,260.9,237.1,10
