MONTH,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
July,MUZAFFARPUR,266.9,332.2,-20
July,NALANDA,394.8,304.3,30
July,NAWADA,270.9,281.4,-4
July,PATNA,289.5,315.6,-8
July,PURNEA,396.8,476.3,-17
July,ROHTAS,489.3,288.8,69
July,SAHARSA,298.7,375.3,-20
July,SAMASTIPUR,465.2,309.5,50
July,SARAN,239.1,315.9,-24
July,SHEIKHPURA,211.5,296.6,-29
July,SHEOHAR,237.2,356.7,-34
July,SITAMARHI,191.6,375.5,-49
July,SIWAN,313.8,308.3,2
July,SUPAUL,300.2,391.3,-23
July,VAISHALI,306.8,335.6,-9
July,WEST CHAMPARAN,528.9,438.5,21
August,ARARIA,149.8,340.9,-56
August,ARWAL,267.8,204.5,31
August,AURANGABAD,288.4,251,15
August,BANKA,190.8,247.7,-23
August,BEGUSARAI,72.4,273.8,-74
August,BHABUA,390.5,271.2,44
August,BHAGALPUR,117.1,260.3,-55
August,BHOJPUR,110.2,258.9,-57
August,BUXAR,128.8,232,-44
August,DARBHANGA,75.3,254.7,-70
August,EAST CHAMPARAN,45,302,-85
August,GAYA,296.2,241.6,23
August,GOPALGANJ,48.5,272.7,-82
August,JAHANABAD,178.2,238.2,-25
August,JAMUI,316.5,250.9,26
August,KATIHAR,97.5,255.8,-62
August,KHAGARIA,100,252.1,-60
August,KISHANGANJ,174.8,451.7,-61
August,LAKHISARAI,165.5,222.7,-26
August,MADHEPURA,120.2,265.9,-55
August,MADHUBANI,88.1,268.5,-67
August,MONGHYR,121.4,276.1,-56
August,MUZAFFARPUR,74.2,261.9,-72
August,NALANDA,143.7,237.7,-40
August,NAWADA,250.9,242.4,4
August,PATNA,110.5,237.8,-54
August,PURNEA,113.6,346.9,-67
August,ROHTAS,245.2,248,-1
August,SAHARSA,70.7,276,-74
August,SAMASTIPUR,73.4,254.8,-71
August,SARAN,114.5,258,-56
August,SHEIKHPURA,230.5,209.6,10
August,SHEOHAR,56,266.9,-79
August,SITAMARHI,61.6,307.3,-80
August,SIWAN,123.2,249,-51
August,SUPAUL,139.3,262.5,-47
August,VAISHALI,90.7,244.3,-63
August,WEST CHAMPARAN,89.4,355.8,-75
September,ARARIA,564.6,284,99
September,ARWAL,378.6,159.8,137
September,AURANGABAD,419.3,187.7,123
September,BANKA,377.3,198.7,90
September,BEGUSARAI,400.2,241,66
September,BHABUA,251.9,221.3,14
September,BHAGALPUR,320.1,219.7,46
September,BHOJPUR,320.3,207.2,55
September,BUXAR,213,172.2,24
September,DARBHANGA,378.1,186.6,103
September,EAST CHAMPARAN,322.6,211.1,53
September,GAYA,463.2,174.7,165
September,GOPALGANJ,327.9,216.8,51
September,JAHANABAD,436.4,185.1,136
September,JAMUI,342.2,218.7,56
September,KATIHAR,329.2,262,26
September,KHAGARIA,241.4,225.7,7
September,KISHANGANJ,676,354.5,91
September,LAKHISARAI,439.9,200.6,119
September,MADHEPURA,440.6,250.1,76
September,MADHUBANI,306.1,180.9,69
September,MONGHYR,466.2,225.9,106
September,MUZAFFARPUR,318.9,216.7,47
September,NALANDA,272.9,191.6,42
September,NAWADA,301.9,178.4,69
September,PATNA,383.7,203.3,89
September,PURNEA,333.2,308.9,8
September,ROHTAS,261.1,190.1,37
September,SAHARSA,444.1,236.4,88
September,SAMASTIPUR,351.9,223,58
September,SARAN,278.1,195.8,42
September,SHEIKHPURA,282.5,181.7,55
September,SHEOHAR,273.3,206,33
September,SITAMARHI,322.6,188.6,71
September,SIWAN,315.6,212.9,48
September,SUPAUL,448.3,228.5,96
September,VAISHALI,260.5,199.4,31
September,WEST CHAMPARAN,362.3,237.1,53
