MONTH,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
August,SIWAN,130.6,282.4,-54
August,SUPAUL,155.4,283.6,-45
August,VAISHALI,108,270,-60
August,WEST CHAMPARAN,253.6,367.9,-31
September,ARARIA,661.1,269.4,145
September,ARWAL,99.3,162.6,-39
September,AURANGABAD,176,183.6,-4
September,BANKA,295.5,207.6,42
September,BEGUSARAI,273.4,236.3,16
September,BHABUA,60.5,225,-73
September,BHAGALPUR,321.2,220.9,45
September,BHOJPUR,255.8,209.4,22
September,BUXAR,158.6,180.8,-12
September,DARBHANGA,290.4,176.3,65
September,EAST CHAMPARAN,254.5,201.1,27
September,GAYA,144.2,179.2,-20
September,GOPALGANJ,445.9,208.5,114
September,JAHANABAD,159.6,182.5,-13
September,JAMUI,290.4,216.8,34
September,KATIHAR,580.7,267.4,117
September,KHAGARIA,273,232.7,17
September,KISHANGANJ,780.6,348.1,124
September,LAKHISARAI,314.5,189.3,66
September,MADHEPURA,326.7,248.7,31
September,MADHUBANI,269.2,169.5,59
September,MONGHYR,322.9,233.5,38
September,MUZAFFARPUR,341.7,216.6,58
September,NALANDA,278.5,189.8,47
September,NAWADA,232,181.6,28
September,PATNA,248.5,202.6,23
September,PURNEA,603,307.4,96
September,ROHTAS,115.8,192.6,-40
September,SAHARSA,235.1,244.1,-4
September,SAMASTIPUR,310.7,221.6,40
September,SARAN,325,198.7,64
September,SHEIKHPURA,238.7,182.7,31
September,SHEOHAR,355.2,206.3,72
September,SITAMARHI,293.6,176.1,67
September,SIWAN,246.2,219.2,12
September,SUPAUL,477.8,217.5,120
September,VAISHALI,238.5,206.2,16
September,WEST CHAMPARAN,607.8,236.3,157
